,carat,cut,color,clarity,depth,table,x,y,z,price
10941,1.01,Very Good,F,SI1,59.7,61.0,6.49,6.55,3.89,4899
52150,0.79,Premium,H,SI2,60.4,61.0,5.99,5.96,3.61,2471
25651,1.82,Very Good,F,SI1,63.2,56.0,7.71,7.64,4.85,14545
53343,0.7,Ideal,E,SI1,62.6,57.0,5.64,5.67,3.54,2656
10913,1.01,Very Good,F,SI1,59.8,59.0,6.39,6.43,3.83,4890
48126,0.54,Ideal,E,VS1,61.0,56.0,5.24,5.35,3.23,1939
15411,1.23,Premium,E,SI2,62.4,60.0,6.82,6.78,4.24,6172
3689,0.9,Very Good,H,SI1,61.0,59.0,6.11,6.16,3.74,3447
34687,0.3,Ideal,F,IF,61.8,55.0,4.31,4.33,2.67,873
49616,0.72,Ideal,J,VVS1,62.4,58.0,5.71,5.76,3.58,2139
39020,0.43,Premium,I,IF,61.2,58.0,4.83,4.88,2.97,1056
42274,0.23,Very Good,E,VVS2,59.4,61.0,4.01,4.04,2.39,505
13761,1.2,Ideal,H,SI2,61.0,57.0,6.84,6.9,4.19,5610
5621,0.96,Premium,I,VS2,60.6,60.0,6.4,6.47,3.9,3876
42486,0.47,Ideal,D,VS2,61.9,56.0,4.99,5.03,3.1,1319
36458,0.31,Ideal,D,VS2,62.2,55.0,4.34,4.31,2.69,942
38770,0.31,Ideal,E,VVS2,60.8,57.0,4.39,4.36,2.66,1046
21754,1.51,Good,H,VS2,64.0,59.0,7.19,7.25,4.62,9821
32026,0.43,Ideal,H,VS2,62.3,54.0,4.85,4.88,3.03,778
12382,0.35,Ideal,I,VVS2,61.5,55.0,4.56,4.58,2.81,598
30696,0.42,Premium,G,SI1,61.7,58.0,4.76,4.8,2.95,737
34747,0.41,Ideal,H,SI1,62.8,56.0,4.77,4.72,2.98,876
47472,0.64,Ideal,E,SI1,62.7,57.0,5.54,5.47,3.45,1859
7564,1.04,Very Good,D,SI2,58.2,59.0,6.62,6.67,3.87,4252
33994,0.42,Premium,G,VS2,62.0,58.0,4.77,4.81,2.97,847
13138,1.05,Ideal,E,SI1,62.1,57.0,6.48,6.5,4.03,5436
8457,1.03,Very Good,G,SI2,63.5,56.0,6.37,6.33,4.03,4413
5899,1.2,Ideal,I,SI2,62.5,56.0,6.8,6.7,4.22,3931
31651,0.35,Premium,F,VS1,60.7,58.0,4.54,4.58,2.77,767
34023,0.35,Ideal,G,VVS1,61.7,55.0,4.54,4.57,2.81,849
52261,0.74,Ideal,E,SI1,62.6,56.0,5.74,5.7,3.58,2489
38063,0.4,Good,G,VVS1,59.1,61.0,4.86,4.88,2.88,1013
26252,2.18,Ideal,I,SI2,62.5,55.0,8.31,8.34,5.2,15706
39901,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1103
1312,0.71,Good,F,VVS2,58.2,60.0,5.89,5.94,3.44,2956
1883,0.77,Ideal,H,VS1,61.4,55.0,5.89,5.93,3.63,3074
30211,0.33,Ideal,E,VS2,60.3,57.0,4.51,4.54,2.73,723
2659,0.8,Very Good,H,VS2,63.1,57.0,5.87,5.92,3.72,3235
16149,1.31,Good,I,VS1,64.3,58.7,6.84,6.87,4.41,6455
26164,1.52,Ideal,E,VS2,62.4,55.0,7.42,7.32,4.6,15488
25552,2.09,Ideal,H,SI1,60.6,57.0,8.34,8.29,5.04,14383
11753,1.08,Premium,H,SI1,62.6,58.0,6.53,6.56,4.1,5078
49950,0.3,Premium,H,SI1,62.2,60.0,4.28,4.24,2.65,540
41909,0.4,Ideal,F,IF,61.8,55.0,4.74,4.8,2.95,1261
44282,0.53,Ideal,H,VS1,61.6,57.0,5.18,5.24,3.21,1577
64,0.42,Premium,I,SI2,61.5,59.0,4.78,4.84,2.96,552
38537,0.34,Premium,D,VS2,60.4,60.0,4.56,4.51,2.74,1033
24448,1.51,Good,D,VS2,59.8,65.0,7.36,7.43,4.42,12709
11976,1.2,Premium,I,SI2,62.7,58.0,6.82,6.76,4.26,5141
19670,1.1,Ideal,F,VS1,61.7,57.0,6.67,6.65,4.11,8279
12148,1.0,Premium,D,VS2,62.9,57.0,6.37,6.32,3.99,5174
7161,0.94,Ideal,D,SI2,62.1,56.0,6.21,6.25,3.87,4182
27440,2.19,Very Good,E,SI2,62.4,61.0,8.23,8.31,5.16,18067
33264,0.3,Ideal,E,VVS1,62.4,55.0,4.32,4.34,2.7,826
33120,0.31,Premium,E,VVS2,61.9,58.0,4.35,4.38,2.7,816
49459,0.71,Premium,H,SI1,62.4,59.0,5.65,5.6,3.51,2112
8785,1.0,Ideal,H,SI1,62.6,57.0,6.4,6.37,4.0,4469
25520,1.64,Premium,G,VS2,62.4,58.0,7.52,7.49,4.68,14330
12618,1.5,Fair,H,I1,68.9,56.0,7.0,6.9,4.79,5292
21014,1.6,Premium,E,SI1,61.2,58.0,7.59,7.5,4.62,9229
21341,1.05,Ideal,F,VVS2,61.6,56.0,6.55,6.53,4.03,9483
19370,0.27,Ideal,D,VVS2,62.6,56.0,4.13,4.15,2.59,622
35606,0.31,Very Good,H,VVS1,63.3,56.0,4.32,4.3,2.73,907
28901,0.3,Very Good,G,VVS2,62.8,60.0,4.25,4.28,2.68,684
29314,0.31,Ideal,H,VS1,62.0,54.0,4.39,4.35,2.71,698
543,0.72,Premium,F,VS1,62.2,58.0,5.75,5.7,3.56,2829
32304,0.25,Very Good,I,VVS2,61.6,56.0,4.06,4.09,2.51,455
36542,0.4,Premium,F,SI1,62.7,57.0,4.7,4.68,2.94,945
33542,0.35,Ideal,E,VS1,61.2,56.0,4.53,4.55,2.78,829
22949,1.5,Good,F,VS2,63.6,59.0,7.13,7.22,4.56,10995
49638,0.32,Very Good,G,SI2,63.4,55.0,4.35,4.32,2.75,540
14292,1.23,Premium,G,VS1,62.2,58.0,6.78,6.74,4.27,5786
48397,0.64,Ideal,D,SI1,62.1,56.0,5.5,5.55,3.43,1967
29392,0.31,Very Good,E,SI1,63.2,59.0,4.31,4.24,2.7,698
25927,1.98,Very Good,I,VS2,62.7,60.0,7.9,7.96,4.98,15083
43284,0.31,Very Good,D,SI1,60.4,60.0,4.4,4.44,2.67,507
22558,1.58,Very Good,H,VS2,61.4,60.0,7.49,7.44,4.58,10608
35926,0.43,Premium,E,SI2,62.7,55.0,4.87,4.83,3.04,919
16053,1.28,Ideal,G,SI2,61.5,57.0,6.93,7.0,4.28,6412
35146,0.43,Ideal,J,IF,62.4,56.0,4.84,4.87,3.03,890
30174,0.38,Ideal,G,VS2,59.5,58.0,4.75,4.77,2.83,721
53117,0.75,Very Good,G,SI1,62.3,55.0,5.81,5.85,3.63,2617
28806,0.31,Ideal,E,VS1,60.5,60.0,4.37,4.39,2.65,682
19291,1.02,Ideal,F,VS1,61.0,56.0,6.49,6.52,3.97,8011
7090,0.91,Premium,D,SI1,61.5,59.0,6.25,6.18,3.82,4165
34104,0.38,Very Good,G,VVS2,61.5,57.0,4.66,4.68,2.87,853
46804,0.7,Premium,D,SI2,59.8,59.0,5.75,5.72,3.43,1806
36289,0.32,Ideal,G,SI1,61.3,57.0,4.37,4.4,2.69,477
50656,0.31,Good,G,VS2,63.5,58.0,4.22,4.29,2.7,544
5603,0.9,Ideal,D,SI2,62.3,57.0,6.17,6.23,3.86,3871
32919,0.42,Very Good,D,SI1,60.8,59.0,4.82,4.85,2.94,810
19804,1.73,Good,E,I1,63.6,59.0,7.6,7.56,4.82,8370
5344,0.74,Ideal,D,VS1,61.3,57.0,5.8,5.84,3.57,3812
4182,0.83,Premium,F,VS2,60.2,60.0,6.04,6.09,3.65,3557
15515,1.51,Good,J,SI2,58.1,64.0,7.57,7.53,4.39,6215
19196,1.25,Premium,G,VS2,61.2,57.0,6.95,6.91,4.24,7948
25000,1.29,Ideal,E,VVS2,59.8,59.0,7.07,7.11,4.24,13530
35748,0.3,Premium,D,VS2,62.5,58.0,4.29,4.26,2.67,911
15799,1.12,Ideal,G,VS2,62.1,57.0,6.63,6.6,4.11,6322
53287,0.3,Ideal,D,SI1,62.1,54.0,4.31,4.35,2.69,552
45748,0.51,Ideal,H,VVS1,62.7,57.0,5.12,5.15,3.22,1702
11247,1.28,Ideal,J,SI1,61.2,57.0,7.02,6.96,4.28,4967
261,0.87,Very Good,I,SI1,63.6,55.8,6.07,6.1,3.87,2791
51394,0.71,Premium,D,SI2,62.8,57.0,5.69,5.64,3.56,2368
13535,1.31,Ideal,I,SI2,63.6,55.0,6.98,6.92,4.42,5546
34152,0.33,Premium,G,VS1,60.3,59.0,4.52,4.44,2.7,854
32157,0.28,Ideal,E,VVS1,60.6,55.0,4.28,4.3,2.6,787
5617,1.01,Premium,I,SI2,61.1,58.0,6.5,6.46,3.96,3874
15543,1.25,Premium,H,SI2,62.2,60.0,6.83,6.8,4.24,6230
44780,0.52,Premium,E,VS2,60.6,58.0,5.23,5.2,3.16,1622
26564,1.2,Ideal,E,VVS1,61.8,56.0,6.78,6.87,4.22,16256
43801,0.58,Ideal,F,SI1,59.9,56.0,5.41,5.47,3.26,1442
43412,0.53,Premium,H,VS2,61.4,52.0,5.29,5.26,3.24,1412
19721,1.21,Premium,G,VS2,60.3,60.0,6.89,6.83,4.14,8294
52699,0.8,Very Good,H,SI1,63.2,54.0,5.93,5.88,3.73,2553
41474,0.5,Very Good,D,SI1,62.5,58.0,5.06,4.98,3.14,1231
9389,0.32,Good,D,SI1,63.2,54.0,4.36,4.38,2.76,589
26725,0.32,Very Good,G,VS1,62.5,60.0,4.29,4.35,2.7,645
51797,0.7,Premium,D,VS2,61.3,58.0,5.72,5.67,3.48,2415
29315,0.31,Ideal,H,VS1,61.1,57.0,4.39,4.35,2.67,698
19914,1.51,Very Good,F,SI2,63.2,60.0,7.2,7.27,4.57,8462
17853,1.16,Ideal,G,VS2,62.3,57.0,6.72,6.66,4.17,7203
46584,0.55,Ideal,G,VS1,60.9,55.0,5.29,5.32,3.23,1786
35929,0.43,Ideal,D,SI2,62.6,56.0,4.88,4.84,3.04,919
24441,1.51,Premium,G,VS2,59.6,57.0,7.52,7.49,4.47,12696
1992,0.91,Premium,F,SI2,62.1,56.0,6.26,6.21,3.87,3096
15740,1.0,Very Good,G,VS2,60.8,55.0,6.46,6.49,3.94,6296
12346,1.0,Very Good,G,VS2,62.8,57.0,6.33,6.37,3.99,5227
21660,1.5,Very Good,I,VS1,60.4,59.0,7.35,7.42,4.46,9759
11441,1.2,Premium,I,VS2,62.2,61.0,6.74,6.73,4.19,5006
20711,0.31,Very Good,G,VS1,60.8,61.0,4.33,4.35,2.64,625
29377,0.31,Premium,E,SI1,59.2,60.0,4.42,4.36,2.6,698
38935,0.4,Very Good,E,VS1,60.1,58.0,4.72,4.76,2.85,1053
31251,0.34,Ideal,E,VS2,62.1,54.1,4.47,4.5,2.78,758
46141,0.57,Premium,F,SI2,60.7,59.0,5.38,5.33,3.25,1746
41792,0.54,Good,D,SI2,63.2,57.0,5.16,5.19,3.27,1249
49555,0.81,Premium,J,VS2,60.6,60.0,6.04,6.0,3.65,2129
19046,0.3,Very Good,E,VVS2,61.1,62.0,4.28,4.33,2.63,622
1150,0.75,Very Good,E,SI1,61.5,58.0,5.82,5.86,3.59,2923
15528,1.32,Fair,E,SI2,65.2,58.0,6.86,6.79,4.45,6221
19179,1.74,Premium,H,SI1,62.1,59.0,7.69,7.63,4.76,7932
20591,1.52,Premium,D,SI2,60.2,60.0,7.46,7.4,4.47,8897
7230,0.95,Very Good,G,SI2,62.6,58.0,6.17,6.23,3.88,4194
37763,0.41,Ideal,E,VS2,61.8,57.0,4.78,4.76,2.95,999
7059,0.33,Premium,I,VVS2,61.0,58.0,4.42,4.46,2.71,579
45459,0.51,Ideal,E,VS2,61.9,55.0,5.1,5.14,3.17,1675
4404,0.31,Ideal,D,SI1,62.4,56.0,4.31,4.35,2.7,571
17538,1.5,Premium,F,SI2,62.4,58.0,7.31,7.24,4.54,7056
34476,0.38,Ideal,E,VS2,60.1,56.0,4.69,4.72,2.83,866
7776,1.02,Very Good,H,SI2,63.1,59.0,6.43,6.37,4.04,4284
23234,2.36,Ideal,I,SI2,60.8,54.0,8.68,8.57,5.24,11238
52600,0.71,Very Good,G,VS2,61.5,57.0,5.69,5.73,3.51,2543
27737,2.05,Premium,F,SI2,60.2,59.0,8.28,8.33,5.0,18784
12359,1.11,Ideal,G,SI2,60.7,59.0,6.72,6.76,4.09,5231
4448,0.7,Ideal,D,VS1,63.1,54.0,5.62,5.65,3.56,3618
29862,0.3,Ideal,D,VS2,62.2,55.0,4.29,4.33,2.68,710
17172,1.11,Ideal,G,VS2,61.2,56.0,6.65,6.68,4.08,6857
38875,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1050
2330,0.92,Very Good,J,SI1,62.6,58.0,6.18,6.22,3.88,3170
40379,0.36,Ideal,D,VS1,61.7,55.0,4.58,4.6,2.83,1131
11829,1.14,Ideal,I,SI1,60.8,58.0,6.71,6.74,4.09,5096
46437,0.59,Very Good,D,SI1,63.1,61.0,5.35,5.3,3.36,1771
9657,1.01,Premium,H,SI1,61.2,58.0,6.47,6.43,3.95,4642
50050,0.7,Ideal,F,SI1,62.6,56.0,5.69,5.66,3.55,2200
15361,0.3,Premium,G,VS1,59.6,59.0,4.34,4.38,2.6,605
28781,0.37,Premium,I,VVS1,61.6,59.0,4.62,4.66,2.86,681
794,0.79,Premium,F,SI1,62.3,54.0,5.97,5.91,3.7,2862
6637,0.9,Very Good,I,VS2,61.4,58.0,6.22,6.25,3.83,4089
45879,0.57,Ideal,D,VS2,60.3,57.0,5.42,5.4,3.26,1718
15051,0.3,Ideal,G,VS1,59.9,56.0,4.37,4.41,2.63,605
52577,0.71,Ideal,G,VS2,61.6,55.0,5.74,5.78,3.55,2537
35597,0.31,Ideal,H,VVS1,62.7,54.0,4.38,4.33,2.73,907
44938,0.68,Fair,G,SI1,58.0,71.0,5.85,5.7,3.35,1633
33349,0.41,Ideal,G,VS2,62.4,55.0,4.73,4.76,2.96,827
2305,0.79,Ideal,F,SI1,61.3,56.0,5.96,6.01,3.67,3163
25048,0.3,Very Good,F,SI1,63.5,57.0,4.26,4.21,2.69,641
9827,1.01,Premium,D,SI2,62.2,60.0,6.43,6.4,3.99,4672
47937,0.56,Ideal,E,VS2,61.5,57.0,5.3,5.27,3.25,1915
36537,0.4,Good,I,VS1,63.8,55.0,4.69,4.65,2.98,945
40685,0.53,Good,E,SI1,63.6,56.0,5.19,5.1,3.27,1156
50449,0.7,Very Good,F,SI1,63.4,59.0,5.59,5.64,3.56,2264
31647,0.37,Ideal,J,SI1,62.2,53.0,4.63,4.67,2.89,451
30223,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,723
42404,0.61,Premium,I,VS2,58.8,58.0,5.59,5.53,3.27,1308
31628,0.3,Ideal,H,SI1,62.2,57.0,4.27,4.31,2.67,450
31976,0.26,Very Good,F,VS2,59.0,59.0,4.19,4.25,2.49,453
16670,1.25,Premium,I,VS1,60.4,59.0,7.01,6.94,4.21,6664
30462,0.31,Ideal,D,SI1,62.7,56.0,4.36,4.32,2.72,732
47076,0.52,Ideal,D,VS2,61.8,56.0,5.15,5.17,3.19,1822
33711,0.42,Ideal,F,SI1,61.9,54.0,4.87,4.83,3.0,838
3928,0.9,Ideal,J,VS1,62.4,56.0,6.15,6.18,3.85,3498
5395,0.3,Premium,D,SI2,60.2,60.0,4.35,4.32,2.61,574
37988,0.5,Ideal,I,SI1,61.5,54.0,5.13,5.15,3.16,1008
51103,0.72,Very Good,I,VS2,63.3,55.0,5.7,5.74,3.62,2337
14918,1.0,Premium,G,VS1,60.6,59.0,6.42,6.48,3.91,6006
34355,0.3,Very Good,D,VS1,60.1,55.0,4.37,4.4,2.63,863
49393,0.71,Good,I,VS1,63.8,53.0,5.7,5.64,3.62,2104
1400,0.32,Ideal,G,VS1,61.8,55.0,4.42,4.45,2.74,559
21872,1.51,Very Good,E,SI2,62.3,62.0,7.15,7.26,4.49,9936
2393,0.32,Ideal,G,VS2,62.5,56.0,4.38,4.42,2.75,561
31956,0.31,Ideal,I,VS2,61.0,57.0,4.37,4.38,2.67,452
43416,0.57,Ideal,D,SI2,61.4,56.0,5.33,5.38,3.29,1413
18625,1.16,Ideal,G,VS2,62.2,55.0,6.78,6.75,4.21,7600
34300,0.3,Very Good,F,VVS1,58.1,61.0,4.39,4.42,2.56,858
27698,0.4,Ideal,D,SI2,60.5,57.0,4.73,4.76,2.87,648
12988,1.0,Premium,E,SI1,61.7,58.0,6.42,6.35,3.94,5396
3985,0.9,Very Good,G,SI1,63.2,62.0,6.19,6.09,3.88,3512
6255,0.92,Very Good,E,SI2,62.1,58.0,6.18,6.22,3.85,4011
29316,0.31,Ideal,H,VS1,62.6,55.0,4.38,4.34,2.73,698
5152,1.01,Good,F,SI2,64.0,56.0,6.25,6.32,4.02,3768
32399,0.38,Ideal,I,VVS1,61.6,56.0,4.68,4.71,2.89,791
38632,0.31,Very Good,H,VS2,60.0,60.0,4.4,4.43,2.65,489
44343,0.56,Very Good,G,VS2,62.5,57.0,5.25,5.28,3.29,1580
25592,1.54,Very Good,G,VS1,63.4,57.0,7.28,7.36,4.64,14433
47161,0.51,Premium,G,VS1,59.6,58.0,5.22,5.21,3.11,1833
32593,0.3,Ideal,F,VVS1,62.0,55.0,4.3,4.34,2.68,802
26731,2.05,Premium,G,SI2,60.1,59.0,8.3,8.2,4.96,16506
48783,0.59,Very Good,E,VS1,60.0,56.0,5.46,5.5,3.29,2021
28378,0.33,Premium,H,VS2,60.4,60.0,4.52,4.48,2.72,668
44659,0.35,Premium,D,SI2,60.8,58.0,4.51,4.57,2.76,522
49868,0.7,Very Good,G,SI1,62.1,56.0,5.64,5.67,3.51,2175
38832,0.43,Ideal,E,VS2,62.2,57.0,4.84,4.8,3.0,1048
34836,0.3,Premium,H,VVS1,62.6,60.0,4.26,4.21,2.65,878
36362,0.33,Ideal,F,VVS1,62.5,56.0,4.43,4.44,2.77,939
32266,0.3,Good,G,VVS1,63.3,55.0,4.26,4.3,2.71,789
29002,0.34,Premium,F,VS2,62.6,59.0,4.44,4.48,2.79,686
45862,0.7,Premium,I,SI2,63.0,56.0,5.71,5.63,3.57,1715
1108,0.85,Ideal,G,SI2,62.0,57.0,6.1,6.02,3.76,2913
29817,0.3,Premium,D,SI1,62.2,61.0,4.28,4.24,2.65,709
24286,1.58,Premium,G,VS1,62.1,59.0,7.43,7.46,4.62,12530
1597,1.2,Fair,J,I1,64.9,59.0,6.61,6.54,4.27,3011
10369,1.0,Ideal,D,SI1,60.2,57.0,6.48,6.54,3.92,4774
33962,0.4,Very Good,D,VS2,62.4,60.0,4.66,4.67,2.91,845
8316,1.1,Ideal,J,SI1,61.5,55.0,6.65,6.68,4.1,4390
9288,1.06,Ideal,F,SI2,60.7,57.0,6.57,6.61,4.0,4568
23328,1.51,Premium,F,SI1,62.2,58.0,7.32,7.27,4.54,11374
27167,2.01,Very Good,I,VS2,63.8,59.0,7.89,7.85,5.02,17422
20388,0.31,Good,F,VS2,63.4,56.0,4.29,4.32,2.73,625
43064,0.45,Ideal,G,IF,61.0,57.0,4.96,5.0,3.04,1377
8343,1.02,Very Good,E,SI2,60.5,58.0,6.54,6.58,3.97,4398
41458,0.59,Premium,E,SI2,61.4,59.0,5.4,5.32,3.29,1229
34223,0.38,Premium,G,SI1,62.4,59.0,4.64,4.59,2.88,855
25446,2.0,Fair,H,VS1,66.0,56.0,7.79,7.72,5.12,14199
44673,0.66,Ideal,H,SI1,62.4,58.0,5.53,5.56,3.46,1609
19494,1.11,Ideal,G,VS1,62.8,55.0,6.6,6.65,4.16,8129
7187,0.96,Very Good,I,VS2,59.6,59.0,6.36,6.42,3.81,4187
15823,1.26,Ideal,J,VS1,62.2,58.0,6.88,6.92,4.29,6332
41867,0.38,Premium,D,VVS2,61.9,56.0,4.65,4.63,2.87,1257
8738,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,4462
27809,0.3,Ideal,H,VVS1,62.3,57.0,4.25,4.28,2.65,650
25193,2.07,Premium,E,SI2,61.4,58.0,8.24,8.19,5.04,13786
31236,0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,756
34586,0.35,Ideal,F,VVS2,60.8,55.0,4.58,4.61,2.79,872
38698,0.37,Premium,E,VS2,61.0,59.0,4.63,4.59,2.81,1041
5849,1.0,Premium,H,SI2,61.2,59.0,6.42,6.38,3.92,3920
16163,1.22,Ideal,I,VS1,62.3,54.0,6.82,6.86,4.26,6459
7164,0.9,Premium,G,VS2,60.9,58.0,6.34,6.19,3.79,4183
33762,0.4,Very Good,G,SI1,63.2,58.0,4.7,4.61,2.94,840
23199,1.14,Ideal,E,VVS2,61.6,57.0,6.68,6.73,4.13,11206
32263,0.3,Very Good,G,VVS1,62.7,59.0,4.22,4.27,2.66,789
30037,0.39,Very Good,J,VVS1,62.8,58.0,4.61,4.66,2.91,718
21385,0.42,Very Good,I,SI1,61.2,60.0,4.78,4.82,2.94,626
13136,1.06,Very Good,G,SI1,61.3,60.0,6.53,6.55,4.01,5435
4431,0.9,Very Good,G,SI1,63.4,54.0,6.11,6.16,3.89,3615
21358,1.63,Very Good,H,SI2,58.2,62.0,7.77,7.72,4.51,9504
46891,0.56,Ideal,F,VS2,62.1,57.0,5.29,5.28,3.28,1814
10745,1.0,Premium,F,SI1,59.7,60.0,6.48,6.51,3.88,4851
35208,0.33,Premium,I,IF,59.0,61.0,4.56,4.49,2.67,891
7799,1.12,Ideal,H,SI1,62.7,56.0,6.66,6.61,4.16,4290
18803,1.51,Ideal,H,SI1,61.3,57.0,7.41,7.34,4.52,7695
34224,0.4,Premium,D,SI2,60.0,58.0,4.84,4.8,2.89,855
8600,1.03,Good,D,SI1,64.3,58.0,6.31,6.28,4.05,4441
30398,0.32,Ideal,H,VVS1,61.9,56.0,4.38,4.41,2.72,730
26238,2.01,Premium,H,SI2,62.2,61.0,8.08,8.04,5.01,15673
33078,0.42,Premium,E,SI2,58.5,60.0,4.94,4.91,2.88,814
1905,1.0,Ideal,H,I1,61.3,57.0,6.41,6.44,3.94,3080
36911,0.34,Ideal,D,VS1,62.6,56.0,4.52,4.49,2.82,961
9875,1.01,Very Good,H,SI1,59.8,61.0,6.54,6.51,3.9,4680
18677,1.06,Ideal,F,VS2,61.1,56.5,6.57,6.6,4.03,7637
52079,0.53,Ideal,E,VVS2,60.5,57.0,5.24,5.28,3.18,2456
14571,1.01,Premium,E,VS2,59.5,60.0,6.3,6.24,3.73,5882
46378,0.72,Fair,J,SI2,66.1,55.0,5.51,5.56,3.66,1762
37243,0.43,Very Good,G,VVS2,61.7,56.0,4.84,4.88,2.99,976
19686,0.32,Very Good,F,VS2,61.5,59.7,4.32,4.39,2.68,624
37033,0.4,Premium,G,VS2,60.4,58.0,4.78,4.75,2.88,966
34059,0.36,Ideal,D,SI1,61.2,57.0,4.63,4.59,2.82,851
1630,0.72,Very Good,D,VS2,62.1,59.0,5.7,5.73,3.55,3016
27501,2.01,Premium,I,VS1,62.9,59.0,8.03,7.94,5.02,18206
48155,0.54,Ideal,D,VS1,62.0,56.0,5.21,5.25,3.24,1941
40477,0.53,Premium,E,SI2,60.5,60.0,5.21,5.24,3.16,1141
11121,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4937
24664,2.1,Very Good,G,SI2,63.4,58.0,8.19,8.12,5.17,13007
51209,0.74,Very Good,I,SI1,63.8,58.0,5.72,5.76,3.66,2352
51435,0.55,Ideal,E,VVS2,61.9,56.0,5.25,5.29,3.26,2374
46348,0.57,Ideal,H,VS2,61.5,57.0,5.35,5.38,3.3,1759
53549,0.9,Very Good,J,SI2,62.3,59.0,6.15,6.18,3.84,2693
48281,0.53,Ideal,D,VS2,61.4,56.0,5.23,5.2,3.2,1956
8313,1.0,Good,H,SI1,61.2,62.0,6.32,6.36,3.88,4389
15946,1.0,Premium,G,VS1,62.4,60.0,6.39,6.37,3.98,6377
10204,1.04,Ideal,F,SI2,61.2,57.0,6.54,6.6,4.02,4740
29117,0.34,Ideal,H,VS2,62.6,54.0,4.5,4.45,2.8,689
10995,1.19,Ideal,H,SI2,62.0,57.0,6.77,6.81,4.21,4914
33677,0.3,Ideal,E,VVS2,61.1,55.0,4.34,4.37,2.66,837
37244,0.43,Very Good,G,VVS2,60.2,56.0,4.95,4.97,2.99,976
27927,0.38,Premium,E,SI1,58.1,58.0,4.85,4.79,2.8,658
30783,0.3,Very Good,E,VVS2,62.5,56.0,4.28,4.3,2.68,742
32054,0.3,Good,F,IF,64.3,53.0,4.22,4.27,2.73,780
25689,0.3,Very Good,G,VS2,63.5,59.0,4.22,4.17,2.66,644
50081,0.52,Very Good,F,VVS1,61.7,56.0,5.17,5.22,3.2,2205
52543,0.77,Very Good,J,VVS1,62.8,58.0,5.78,5.84,3.65,2532
9384,0.32,Ideal,D,SI1,61.5,56.0,4.39,4.42,2.71,589
3155,0.9,Very Good,I,VS2,58.4,62.0,6.29,6.35,3.69,3334
595,0.82,Fair,F,SI1,64.9,58.0,5.83,5.79,3.77,2838
6810,1.01,Ideal,E,SI2,63.0,56.0,6.34,6.3,3.98,4118
33991,0.42,Ideal,G,VS2,62.1,56.0,4.79,4.84,2.99,847
5189,0.9,Good,H,VS2,63.6,55.0,6.14,6.09,3.89,3775
8430,1.03,Very Good,H,SI1,63.4,62.0,6.46,6.27,4.05,4406
52046,0.73,Ideal,I,VVS2,60.1,56.0,5.88,5.86,3.53,2451
27796,0.37,Very Good,E,SI1,60.6,54.0,4.63,4.68,2.82,649
38628,0.31,Ideal,H,VS2,61.5,57.0,4.33,4.38,2.68,489
10373,1.15,Premium,G,SI1,62.0,58.0,6.68,6.77,4.17,4776
24846,1.73,Ideal,I,VS1,61.4,57.0,7.7,7.65,4.71,13250
5077,0.91,Very Good,E,SI2,63.8,60.0,6.05,6.09,3.87,3751
46577,0.56,Very Good,E,SI1,58.5,59.0,5.42,5.45,3.18,1785
52937,0.7,Very Good,E,SI1,63.5,58.0,5.65,5.62,3.58,2592
25438,1.68,Very Good,G,VS2,62.7,58.0,7.51,7.54,4.72,14192
29732,0.31,Very Good,G,VVS2,62.9,58.0,4.27,4.31,2.7,707
20817,1.55,Fair,H,SI2,64.6,58.0,7.28,7.21,4.68,9045
13091,1.0,Good,F,VS2,63.1,56.0,6.27,6.31,3.97,5420
29395,0.31,Premium,I,VVS2,62.1,58.0,4.37,4.33,2.7,698
39339,0.47,Premium,E,SI2,58.7,60.0,5.13,5.09,3.0,1072
26116,2.06,Premium,I,VS1,58.4,55.0,8.42,8.35,4.9,15393
22116,1.52,Very Good,H,SI1,62.5,58.0,7.28,7.34,4.57,10145
45700,0.57,Ideal,E,VS2,62.2,55.0,5.3,5.34,3.31,1698
1416,0.8,Ideal,G,VS2,61.2,57.0,6.02,6.07,3.7,2969
30976,0.37,Ideal,F,VS2,60.6,56.0,4.63,4.64,2.81,746
39238,0.51,Very Good,I,SI1,63.5,55.0,5.07,5.11,3.23,1068
23683,1.55,Premium,H,VS2,60.7,59.0,7.46,7.5,4.54,11738
3140,0.7,Ideal,E,SI1,61.9,56.0,5.7,5.73,3.54,3330
36183,0.31,Premium,E,VS2,60.8,55.0,4.42,4.39,2.68,930
19676,1.51,Ideal,G,SI1,61.6,56.0,7.34,7.25,4.5,8283
47236,0.71,Very Good,J,SI1,62.8,57.0,5.64,5.67,3.55,1841
18801,1.59,Premium,J,SI1,62.5,60.0,7.42,7.46,4.65,7695
33643,0.38,Ideal,H,VVS2,61.4,57.0,4.63,4.65,2.85,833
6968,0.91,Good,G,VS1,64.1,59.0,6.1,6.13,3.92,4150
9258,1.1,Very Good,H,SI2,59.8,60.0,6.7,6.77,4.03,4561
